ELC_STATUS_ID,RES_ID,SOURCE_DB,SOURCE_TABLE,WMT_AREA_ID,WMT_CATEGORY_ID,WMT_CONTRACTOR_ID,WMT_FUNC_CODE_ID,WMT_LOCATION_ID,WMT_PO_ID,WMT_SAFETYCRITICALELEMENT_ID,WMT_SYSTEM_ID,WMT_TAG_CREATED_DATE,WMT_TAG_CRITICALLINE,WMT_TAG_DESC,WMT_TAG_GLOBALID,WMT_TAG_HISTORYREQUIRED,WMT_TAG_ID,WMT_TAG_ID_ANCESTOR,WMT_TAG_ISACTIVE,WMT_TAG_ISOWNEDBYPROJECT,WMT_TAG_LOOP,WMT_TAG_MAINID,WMT_TAG_NAME,WMT_TAG_UPDATED_BY,WMT_TAG_UPDATED_DATE,WMT_TAG_STATUSCHGDATE,WMT_TAG_COMMENT,WMT_TAG_SUFFIX,WMT_SYSTEM_ACTIVE,WMT_SYSTEM_CODE,WMT_SYSTEM_DESC,WMT_SYSTEM_NAME,WMT_LOCATION_ACTIVE,WMT_LOCATION_CODE,WMT_LOCATION_EXTENDACTIVEWOP,WMT_LOCATION_EXTERNALOWNERSHIP,WMT_LOCATION_MAITIS,WMT_LOCATION_NAME,WMT_LOCATION_NOCOPIESDEFAULTIC,WMT_LOCATION_NOCOPIESWOPERMIT,WMT_LOCATION_OPERATIONHOURS,WMT_LOCATION_PROGVALUE,WMT_LOCATION_SIMULATETIMEFRAME,WMT_LOCATION_SJAMAXNOOFTASKS,WMT_LOCATION_USEPLOTALTITUDE,WMT_LOCATION_WORKSTART,latestUpdateTimeSource
1211,525283,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTGGEAR THRUST BRG OUT,1000000000681024,Y,346434,345637,1,0,96116,681760,23-TE-96116-04,8137,11/07/2014 09:25,,,,,,,,,,,,,,,,,,,,,,
1211,532924,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTG COMP SEAL GAS HTR,1000000000682252,Y,346452,346633,1,0,96148,681760,23-TE-96148,8137,11/07/2014 09:25,,,,,,,,,,,,,,,,,,,,,,
1211,446683,workmate,wmate_dba.wmt_tag,1600,1116,1686,4627,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTGGEAR 1 JOURNBRG DE,1000000000715794,Y,346995,346935,1,0,96117,681760,23-YT-96117-01,9802,09/12/2013 12:53,,,,,,,,,,,,,,,,,,,,,,
1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,13/12/2012 14:13,N,SOFT TAG VRD - PH 1STSTG PRIM SEAL LEAK DE,1000000000250739,Y,682956,345868,1,0,,681760,23-FI-96151,1001,09/10/2015 11:56,06/10/2014 07:45,,,,,,,,,,,,,,,,,,,,,
1211,523206,workmate,wmate_dba.wmt_tag,1585,1116,1686,4469,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTGSUCTSCRUBBER LEVEL,1000000000708182,Y,346104,346127,1,0,92521,681760,23-LT-92521,9802,09/12/2013 12:53,,Settings are reference from bottom seam,,,,,,,,,,,,,,,,,,,,
1211,145665,workmate,wmate_dba.wmt_tag,1585,1116,1686,9265,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTGSUCTCLR GAS IN,1000000000708494,Y,345694,345654,1,0,92501A,681760,23-EZSM-92501A,4332,14/08/2015 14:36,,"Changed barriere for tag, ref. VID-EQ-000785",,,,,,,,,,,,,,,,,,,,
1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11405,1004,8309,,4440,06/10/2015 12:18,N,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH HIGH,1000000000112475,Y,769940,346427,1,0,,681760,23-TAHH-96115-01,1001,06/10/2015 13:14,,,,,,,,,,,,,,,,,,,,,,
1211,,workmate,wmate_dba.wmt_tag,1585,1116,1686,4606,1004,8309,1060,4440,05/10/2009 17:21,N,VRD - PH 1STSTGSCRUB I-FACE,1000000000723051,Y,364488,358644,1,0,92529,681760,23-LEX-92529,4332,14/08/2015 14:36,,,,,,,,,,,,,,,,,,,,,,
1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,26/06/2009 15:36,N,VRD - PH 1STSTG MOTOR JOURN BRG NDE,1000000000681026,Y,346435,346066,1,0,96131,681760,23-TE-96131-01,4332,14/08/2015 14:36,,Added Alarm_Setpoint_Units: ?C (Ref: VRD-CCR-000505)Alarm limit H changed from: 70 To: 80 (Ref: VRD-FEM-3058),,,,,,,,,,,,,,,,,,,,
1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4390,1004,8309,,4440,26/06/2009 15:36,N,VRD - PH 1STSTG LUBE OIL PURGE GAS,1000000000707046,Y,345797,346682,1,0,96188,681760,23-FO-96188,9802,09/12/2013 12:53,,,,,,,,,,,,,,,,,,,,,,
