categoryId,sourceDb,parentTag,updatedDate,createdDate,isCriticalLine,description,tag,areaId,isActive
1152,workmate,48-PT-96960,10/6/2015 12:28,5/16/2013 11:50,FALSE,VRD - PH STG1 COMP WTR MIST RELEASED : PRESSURE ALARM HIGH HIGH,48-PAHH-96960,1004,TRUE
1113,workmate,48-XV-96960,10/8/2015 8:48,6/26/2009 15:36,FALSE,VRD - PH STG1 COMP WTR MIST WTR RLS,48-XV-96960-02,1004,TRUE
1152,workmate,23-TT-96183,10/6/2015 12:28,5/16/2013 11:50,FALSE,VRD - PH 1STSTG COMP OIL TANK HEATER : TEMPERATURE ALARM LOW,23-TAL-96183,1004,TRUE
1152,workmate,23-LT-96182-02,10/6/2015 13:14,10/6/2015 12:18,FALSE,VRD - PH 1STSTG COMP LO RES : LEVEL ALARM LOW,23-LAL-96182-02,1004,TRUE
1115,workmate,23-VA-9110-M01,10/8/2015 11:47,5/28/2013 11:16,FALSE,VRD - 1ST STAGE COMPRESSOR OIL SEPERATOR W/FAN,60-EN-9010B+27G2,1004,TRUE
1116,workmate,48-XV-96962,1/18/2017 7:00,6/26/2009 15:36,FALSE,VRD - PH STG1 COMPENCL WTR MIST CYL2,48-PI-96962A,1004,TRUE
1152,workmate,23-FS-92543-05,10/9/2015 11:56,4/23/2013 10:10,FALSE,SOFT TAG VRD - PH 1ST STG COMP MAN CMD ANTSRG,23-XY-92543-05,1004,TRUE
1152,workmate,23-TT-96181-01,10/6/2015 13:14,10/6/2015 12:18,FALSE,VRD - PH 1STSTG COMP LO HEADER : TEMPERATURE ALARM HIGH,23-TAH-96181-01,1004,TRUE
1114,workmate,23-GK-9107A-M01,10/9/2015 11:56,5/9/2012 17:16,FALSE,VRD - PH 1ST STG COMP ENCL CLGUNIT A,23-GK-9107A-M01-14,1004,TRUE
1152,workmate,23-TE-96136-02,10/9/2015 11:56,12/13/2012 14:16,FALSE,SOFT TAG VRD - PH 1STSTG MOTOR WINDINGS U,23-TI-96136-02,1004,TRUE
1152,workmate,23-PDT-96180,10/9/2015 11:56,12/13/2012 14:14,FALSE,SOFT TAG VRD - PH 1STSTG OIL FILTER,23-PDI-96180,1004,TRUE
1152,workmate,23-TT-96181-02,10/6/2015 13:14,10/6/2015 12:18,FALSE,VRD - PH 1STSTG COMP LO HEADER : TEMPERATURE ALARM HIGH,23-TAH-96181-02,1004,TRUE
